"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045123","cellular extravasation","26/2491","74/16800",0.351351351351351,2.36961168314039,4.92653080369302,1.13750548940021e-05,0.000433080732355086,0.000362939186126508,"ITGAL/ADD2/MADCAM1/PIK3CG/CXCL12/BST1/ST3GAL4/RIPOR2/CCR2/LYVE1/CCL21/ITGB7/TRIM55/CCL28/JAM2/JAML/JAM3/CX3CR1/PDGFD/PTGER4/FUT9/LEP/GP1BA/SPN/ELANE/CD177",26
"GO:0050806","positive regulation of synaptic transmission","45/2491","161/16800",0.279503105590062,1.88504703890528,4.70803429266953,1.20955577500707e-05,0.000457482641481293,0.000383388973837075,"TACR2/CACNG5/SCGN/SLC8A3/CA2/CACNG7/PTN/SLC1A1/LGI1/MPP2/TACR1/TNR/SLC8A2/PTK2B/ADRA1A/TSHZ3/CCR2/GRIA3/SNAP25/LARGE1/IGSF11/SNCA/GRIA1/MICU3/PINK1/PDE9A/LRRTM1/GRIK2/GPER1/FAM107A/CX3CR1/CA7/NSG1/ROR2/NLGN1/CALB2/AKAP5/NRXN1/GRIN2A/SLC18A3/SHISA7/RELN/NLGN3/PRRT1/VAMP2",45
"GO:0043266","regulation of potassium ion transport","31/2491","96/16800",0.322916666666667,2.17784022480931,4.82876082567347,1.23982054280904e-05,0.000465864594811059,0.000390413390054145,"ABCC8/FHL1/KCNG1/NEDD4L/ABCC9/NOS1/CAV1/KCNIP3/AKAP7/CASQ2/PTK2B/EDN3/AKAP9/ATP1B2/KCNA5/DPP6/ANK2/KCNMB1/ADRA2A/ANK3/AKAP6/KCNS2/KCNAB1/KCNS3/KCNG3/DPP10/KCNIP1/LRRC55/KCNIP4/FLNA/VAMP2",31
"GO:0071868","cellular response to monoamine stimulus","22/2491","58/16800",0.379310344827586,2.55817494705076,4.95964374918818,1.32039189559131e-05,0.000489737613403514,0.000410419946086346,"GNAO1/GNA11/PALM/APLP1/SLC1A1/RGS9/NHERF1/NR4A3/GNAL/HTR7/HTR3B/HTR4/HTR3A/DRD5/ALK/ADCY5/HTR3C/PRKN/HTR3E/GNG2/LRRK2/FLNA",22
"GO:0071870","cellular response to catecholamine stimulus","22/2491","58/16800",0.379310344827586,2.55817494705076,4.95964374918818,1.32039189559131e-05,0.000489737613403514,0.000410419946086346,"GNAO1/GNA11/PALM/APLP1/SLC1A1/RGS9/NHERF1/NR4A3/GNAL/HTR7/HTR3B/HTR4/HTR3A/DRD5/ALK/ADCY5/HTR3C/PRKN/HTR3E/GNG2/LRRK2/FLNA",22
"GO:0006805","xenobiotic metabolic process","36/2491","119/16800",0.302521008403361,2.04028620681512,4.75159281217475,1.34111079051212e-05,0.000494233713759884,0.000414187860200674,"CYP26B1/ACSM2B/ABCB11/FMO4/ABCB1/NOS1/FMO2/CYP2C18/BCHE/FMO5/GSTM1/SLC28A2/CYP2C8/AOX1/GLYAT/NAT2/CYP3A4/CMBL/ACSM1/NAT1/CES3/CES2/SULT1B1/CYP4F12/SULT1A1/UGT2B15/SULT1A2/UGT2B17/GSTM2/UGT2B11/UGT1A9/UGT1A1/UGT1A8/UGT1A10/GSTA1/GSTA2",36
"GO:0035589","G protein-coupled purinergic nucleotide receptor signaling pathway","9/2491","13/16800",0.692307692307692,4.66911651174999,5.52167156527734,1.38403195275093e-05,0.000506802528430897,0.000424721035718471,"P2RY12/P2RY1/GPR34/P2RY14/GPR171/P2RY2/P2RY13/P2RY8/P2RY4",9
"GO:0007218","neuropeptide signaling pathway","32/2491","101/16800",0.316831683168317,2.13680139591639,4.78105775199927,1.40371643238668e-05,0.000510757327201964,0.000428035317190796,"TENM1/NTSR1/SORCS1/PPY/OPRM1/ECRG4/NPY/PYY/SSTR4/SSTR1/ADCYAP1/NXPH2/MCHR2/CYSLTR2/SORCS3/NPY1R/NPY5R/CARTPT/GALR1/PNOC/PROKR1/NMUR1/CYSLTR1/GPR171/SSTR2/PENK/NXPH3/PTGDR2/NPY2R/NPY4R/NPY4R2/SSTR3",32
"GO:0008277","regulation of G protein-coupled receptor signaling pathway","43/2491","153/16800",0.281045751633987,1.89545107484985,4.6424103384678,1.61318457855608e-05,0.000583282902020056,0.000488814684942149,"ATP2B4/CAMK2A/MGLL/NOS1/PALM/CHGA/SYP/NECAB2/APLP1/PDE4D/RGS2/PADI2/PHF24/RGS13/TMOD2/SSTR4/ARRB1/SLC24A4/ADCYAP1/RGS5/SLIT2/SNCA/RGS18/ABHD6/GPER1/TUB/ADRB2/GPR27/ALK/PDE3A/GNG7/KCTD12/NRXN1/PTGDR2/KCTD8/CNTN2/SLIT3/PDE6G/PDE2A/LRRK2/GPRASP1/ITGB3/CCL5",43
"GO:0003254","regulation of membrane depolarization","19/2491","47/16800",0.404255319148936,2.72641082364598,4.94505039478934,1.76132982218214e-05,0.000632867821732819,0.000530368855008397,"DCN/FHL1/MYOC/NEDD4L/NTSR1/SMAD7/SCN1B/CLCN2/TRPM4/HCN4/SCN2B/ANK3/GPD1L/SLMAP/SCN3B/B2M/BCL2/LRRK2/MLLT11",19
"GO:0042886","amide transport","76/2491","322/16800",0.236024844720497,1.59181749952001,4.47391188492767,1.77478724381405e-05,0.000633742351843911,0.000531101746645106,"CD38/ABCC8/TFAP2B/NR1H4/CASR/NNAT/PTPRN/TACR2/SRI/SLC46A1/ABCB1/GNAO1/GNA11/SLC15A1/CD209/CHGA/SMPD3/AQP8/CA2/SFRP1/CLEC4M/NHERF1/CWH43/CPT1A/GCG/CNR1/ABCG2/ECRG4/FKBP1B/ACVR1C/EDN3/FFAR1/GNAZ/KCNA5/TRPM4/SNAP25/SLC14A2/BLK/GLTP/ADCYAP1/EPHA5/CRHBP/VIP/GPR119/SIDT2/ADRA2A/ITPR1/TIAM1/KCNB1/NEUROD1/SLC15A2/F2RL1/CARTPT/SLC30A8/GPER1/AQP7/FOLR2/PRKCB/MC4R/GPR27/ADCY5/LEP/UCN3/SLC25A42/MAFA/C1QTNF12/EFNA5/RFX6/PRKN/FFAR4/FAM3D/POU3F3/AQP1/TUNAR/AQP7B/CCL5",76
"GO:0007215","glutamate receptor signaling pathway","21/2491","55/16800",0.381818181818182,2.57508850041969,4.88166155514913,1.83540863549554e-05,0.000650822199456849,0.000545415350388442,"MEF2C/NECAB2/GRIK5/SLC1A1/GRIA2/PTK2B/PLP1/GRIA3/SSTR1/GRIA4/GRIA1/KCNB1/GRIK3/GRIK2/ADRB2/GRIK1/NRXN1/GRIN2A/NLGN3/GRIN3A/FRRS1L",21
"GO:0010038","response to metal ion","78/2491","333/16800",0.234234234234234,1.57974112209359,4.45833725243557,1.8452603672198e-05,0.000650822199456849,0.000545415350388442,"ABCC8/SLC13A2/ATP1A2/OTC/CASR/RASGRP2/ABCC9/MAOB/CYBRD1/MEF2C/HMOX1/SMPD3/SLC30A4/NDRG1/CAV1/SLC1A1/KCNA1/CASQ2/PTK2B/HPCA/HVCN1/CPNE5/MT1G/MT2A/SLC25A23/FOSB/HMGCS2/P2RX4/ITPKA/CPNE8/KCNH1/CNGA3/SNCA/CRHBP/KCNMB1/DLG2/ANK3/BMP6/GRIA1/MICU3/KCNMA1/KIT/KCNB1/PRKAA2/SLC30A8/SMPD1/B2M/CHP2/STIM1/TUBA1A/MT1E/NLGN1/FABP4/CD14/NPTX1/KCNK3/BCL2/BSG/NRXN1/PENK/PRKN/MAPT/MT1X/LRRK2/AKR1C3/RYR1/CPNE4/CACNA1H/SLC30A10/KCNMB2/PLCG2/MT1F/TAT/RYR3/MT1H/MT1M/AQP1/TXNIP",78
"GO:0042445","hormone metabolic process","59/2491","234/16800",0.252136752136752,1.7004807048966,4.50214226254389,1.97216102487644e-05,0.000691338642196014,0.000579369769631544,"CYP26B1/HSD17B6/RETSAT/DHRS9/HSD17B2/CMA1/PCSK5/CTSG/CPQ/CYP2C18/BMP5/MEP1A/GHR/NR3C1/BCHE/CLCN2/TPO/SCP2/ECE1/LRAT/CHST8/BMP2/PCSK2/PDGFRA/UGT2A3/RDH5/EDNRB/CYP2C8/SLCO1C1/CYP11A1/AKR1C2/BMP6/CHST9/CYP3A4/SLC30A8/ALDH1A1/SCNN1B/ADH6/SULT1B1/LEP/GCNT4/ADH1A/AKR1C3/SULT1A1/CACNA1H/ADH1B/UGT2B15/UGT2B17/AKR1B10/HSD17B11/PAPSS2/HSD3B2/UGT2B11/AKR1B15/UGT1A9/UGT1A1/UGT1A8/ADH1C/DHRS11",59
